,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
none_ratio_scaled,-0.05536632995080523,0.14403119835065895,-0.042473714249153444,-0.31467021256241823,0.26734232938255514,0.13748496041000427,0.04739206448219372,0.22042394106170868,0.06433554294177593,-0.11548388191214459,0.005204661962696758,-0.16450001875251158,0.01956871335736431,0.04209603431473453,-0.07799515412653377,0.10193912028093906,0.009780026477394666,-0.05949809397347712,0.010981221393044865,-0.10497162821692053,0.1582910131860731,-0.0025051025215721535
total_edits_scaled,0.3003194834901592,0.02481709105652259,-0.02644295422151474,0.03692593036867334,0.03854081004646436,0.0049459105737693744,0.09538764644637082,0.041238190550536694,-0.07169152177118175,-0.021677603410173513,-0.09906113900756225,0.01370275158505723,-0.021439551177477225,-0.01735786290626277,0.021676938148916625,-0.03527406170285661,-0.05213123132161347,0.013042594099084572,0.010529385925743139,0.021506299170100718,-0.0338002991063262,-0.019506252152771696
burstiness_score_scaled,0.16112791118360237,0.13038854867522595,-0.039620386863459645,-0.009014111097479148,0.0063944864227554075,0.04801924915338594,0.01968533495611423,-0.13694775008456883,-0.11571758732344498,-0.319394174355852,-0.10538226423790077,-0.018908026420951695,0.0763655870462726,0.006924016030008621,0.01933200666893074,-0.07836353906588393,0.19937130248223978,0.08015069939480769,-0.03782774239269818,0.14563697169113848,-0.3606661070843338,-0.28062751185473334
building_ratio_scaled,0.04714131548188162,-0.2001495064801306,0.18016826197073532,0.08464529894577208,0.2766543913424386,-0.025483246974885184,0.07677141921719438,0.025263468445059906,-0.03167245371308179,-0.08307937060053765,0.13640030039362522,0.04480995808632444,-0.14598226146066243,-0.16160488420249125,0.04389930025755745,0.01916956871165605,0.2060410815626817,0.22670919991894545,-0.16996357446883306,0.10366966845713571,0.23933254091401393,0.1521861841926884
road_ratio_scaled,0.0356506699794228,0.05988414055962183,-0.2709929249886744,-0.21366612448108302,0.10772040230795926,0.050956717506263974,0.07167569212445159,-0.12975603777944467,0.006887533547642345,0.12165698004643116,0.1990855076709905,-0.06487004207679224,0.07842621123152996,0.2272643891426505,-0.0037964216206432966,-0.12993576709019383,-0.17225466323977215,-0.28200767740312455,0.2694654859414769,-0.08691313164673312,-0.19941024711804792,-0.08352466285836062
amenity_ratio_scaled,-0.05977464160223871,0.2581998223386335,0.16418254563013698,0.05934890260802633,0.18610800357391047,-0.14250767722626326,0.10321258510724701,-0.08192682666546855,0.073762319739208,0.10457852211857468,0.03858083009307327,-0.08504485345667487,0.003561228579353138,-0.00311389720883517,-0.014844457983638405,0.018079936809937937,-0.02995603924056724,0.036401815556986766,0.06649642350139368,0.03506477957450926,-0.10979288883820257,0.036034072286210306
shop_ratio_scaled,-0.05401844535966407,0.2011492346415766,0.16092640832426067,0.06917656313051453,0.11802994264645476,-0.09968581620549011,0.022089640269802212,0.00650450353792305,0.05742440881941292,0.0918413430030926,-0.060288693685935174,-0.1774723166491935,0.04487188195477971,-0.038969393768844784,0.16869058260640957,-0.1668553600306343,0.0026349262269497803,-0.12332761726248108,-0.12481733884196822,0.09540247651605892,-0.056133505545386465,0.4999490290469008
educational_institution_ratio_scaled,-0.008947395417551724,0.1151268915759223,0.03080743762518176,0.07891665995343422,0.2203552827848072,-0.12875804025303875,0.16533924702587474,-0.1064766547968579,0.10934163475818949,0.1420905912285548,0.18773065321709054,-0.07902947680400638,-0.08620983481481387,-0.10838689264015826,0.01683425567079079,-0.004160518912866099,0.14926334399363592,0.5349706809758591,0.5072902878267442,-0.1766664862785523,-0.10569930811588708,-0.16098116383810093
healthcare_facility_ratio_scaled,-0.026519418927271696,0.13321415715075166,0.0943724931743654,0.07957305683980305,0.12080591399934625,-0.09815927257643707,0.054913808820022225,-0.02119504782007342,0.06861588403667103,0.1375297119412525,-0.02422782213513275,-0.2743100259292482,0.024774786176441584,-0.14962966614526443,0.4097567777463247,-0.4422183649929726,0.16963817234035536,-0.317932937433838,-0.16799472001477236,-0.0983178993019791,0.19487594820646248,-0.41713863160729536
land_use_ratio_scaled,0.04405970309024706,0.05006900976948052,-0.08542896075935905,0.08479206268714695,0.12060864009163218,-0.2276884391335065,0.15178947236577703,-0.2738375947206326,0.015531069292744008,0.10238386233746917,0.18541994749485813,0.16741317766873268,-0.11236832783018003,0.03511658497792803,-0.3094277444954088,0.2328322669958477,0.055639766526060674,-0.2667995394622237,-0.3574727664583995,0.14254498932409276,-0.032746546211171394,-0.2473969590906597
point_of_interest_ratio_scaled,-0.0818425502804728,0.27020016596476965,0.17912759499243883,0.07087332456775824,0.15862810228910218,-0.16854379381882834,0.05056554670153507,-0.0668717270942962,0.055040025468987105,0.0883893295493529,0.006289745263594835,-0.05990485191246587,0.002419814730426982,0.024805965592369056,-0.020551670530484154,0.03404087201604929,-0.034238241170603416,-0.021676193993551682,0.008175834178555422,0.07033296037238096,-0.12542326099374104,0.19737893545176374
